Position (m),Power in (W)
0.006985,0.0056953642
0.0070104,0.0056953642
0.0070358,0.0056953642
0.0070612,0.0056638284
0.0070866,0.0056480605
0.007112,0.0056480605
0.0071374,0.0056322927
0.0071628,0.0056165248
0.0071882,0.005584989
0.0072136,0.0055692211
0.007239,0.0055376853
0.0072644,0.0055061495
0.0072898,0.0054588458
0.0073152,0.0054115421
0.0073406,0.0053327026
0.007366,0.005269631
0.0073914,0.0051750237
0.0074168,0.0050646484
0.0074422,0.0049227373
0.0074676,0.0047492904
0.007493,0.0045758436
0.0075184,0.0043708609
0.0075438,0.0041028067
0.0075692,0.0038662882
0.0075946,0.0036140019
0.00762,0.0033301798
0.0076454,0.0030936613
0.0076708,0.0027783034
0.0076962,0.0025102491
0.0077216,0.0022579628
0.007747,0.0020214443
0.0077724,0.0017849259
0.0077978,0.0015389467
0.0078232,0.0013245033
0.0078486,0.0011100599
0.007874,0.0009460738
0.0078994,0.000794702
0.0079248,0.0006559445
0.0079502,0.0005298013
0.0079756,0.0004415011
0.008001,0.0003405866
0.0080264,0.000277515
0.0080518,0.0002270577
0.0080772,0.0001766004
0.0081026,0.0001387575
0.008128,0.0001009145
0.0081534,7.5685903500473E-05
0.0081788,5.04572690003154E-05
0.0082042,4.25733207190161E-05
0.0082296,3.3112582781457E-05
0.008255,0.000029959
0.0082804,2.04982655313781E-05
0.0083058,1.41911069063387E-05
0.0083312,1.26143172500788E-05
0.0083566,1.1037527593819E-05
0.008382,9.46073793755913E-06
0.0084074,7.88394828129928E-06
0.0084328,4.73036896877956E-06
0.0084582,3.15357931251971E-06
0.0084836,3.15357931251971E-06
0.008509,1.57678965625986E-06
0.0085344,1.57678965625986E-06
0.0085598,1.57678965625986E-06
0.0085852,1.57678965625986E-06
