Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,-0.00064
Sample Interval,1e-07
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,"MATH<CH2-CH1>"
-5.640000e-03,-0.00323125
-5.639900e-03,-0.00321563
-5.639800e-03,-0.00308438
-5.639700e-03,-0.0032375
-5.639600e-03,-0.00317188
-5.639500e-03,-0.00319688
-5.639400e-03,-0.00323438
-5.639300e-03,-0.00320937
-5.639200e-03,-0.00314375
-5.639100e-03,-0.00315625
-5.639000e-03,-0.0032875
-5.638900e-03,-0.00321875
-5.638800e-03,-0.0032375
-5.638700e-03,-0.00316875
-5.638600e-03,-0.00318438
-5.638500e-03,-0.0031375
-5.638400e-03,-0.0031875
-5.638300e-03,-0.0032375
-5.638200e-03,-0.00322188
-5.638100e-03,-0.00328125
-5.638000e-03,-0.00319375
-5.637900e-03,-0.00325312
-5.637800e-03,-0.00323438
-5.637700e-03,-0.003175
-5.637600e-03,-0.00320625
-5.637500e-03,-0.00322188
-5.637400e-03,-0.0031
-5.637300e-03,-0.0032375
-5.637200e-03,-0.00320313
-5.637100e-03,-0.00315
-5.637000e-03,-0.003225
-5.636900e-03,-0.00319375
-5.636800e-03,-0.0031875
-5.636700e-03,-0.00318438
-5.636600e-03,-0.00328125
-5.636500e-03,-0.00325
-5.636400e-03,-0.0031875
-5.636300e-03,-0.00332188
-5.636200e-03,-0.00313125
-5.636100e-03,-0.003125
-5.636000e-03,-0.0033875
-5.635900e-03,-0.00321875
-5.635800e-03,-0.00316094
-5.635700e-03,-0.00318906
-5.635600e-03,-0.00318438
-5.635500e-03,-0.00316094
-5.635400e-03,-0.0031375
-5.635300e-03,-0.00319688
-5.635200e-03,-0.00324688
-5.635100e-03,-0.00326563
-5.635000e-03,-0.0032125
-5.634900e-03,-0.0032625
-5.634800e-03,-0.00328125
-5.634700e-03,-0.00319688
-5.634600e-03,-0.00324375
-5.634500e-03,-0.00321563
-5.634400e-03,-0.00319688
-5.634300e-03,-0.003225
-5.634200e-03,-0.00329375
-5.634100e-03,-0.00314063
-5.634000e-03,-0.0032125
-5.633900e-03,-0.003125
-5.633800e-03,-0.00328125
-5.633700e-03,-0.00316094
-5.633600e-03,-0.00320313
-5.633500e-03,-0.00316563
-5.633400e-03,-0.00320625
-5.633300e-03,-0.00324063
-5.633200e-03,-0.00320313
-5.633100e-03,-0.00316094
-5.633000e-03,-0.00313281
-5.632900e-03,-0.00320937
-5.632800e-03,-0.00319844
-5.632700e-03,-0.00318438
-5.632600e-03,-0.00315625
-5.632500e-03,-0.00317188
-5.632400e-03,-0.0032
-5.632300e-03,-0.00314375
-5.632200e-03,-0.00315313
-5.632100e-03,-0.00323438
-5.632000e-03,-0.00328437
-5.631900e-03,-0.00317812
-5.631800e-03,-0.0033
-5.631700e-03,-0.00325625
-5.631600e-03,-0.00323438
-5.631500e-03,-0.00315938
-5.631400e-03,-0.003125
-5.631300e-03,-0.00315
-5.631200e-03,-0.00328437
-5.631100e-03,-0.00317812
-5.631000e-03,-0.00306875
-5.630900e-03,-0.00311875
-5.630800e-03,-0.00313125
-5.630700e-03,-0.00320625
-5.630600e-03,-0.003125
-5.630500e-03,-0.00313594
-5.630400e-03,-0.0032125
-5.630300e-03,-0.00315625
-5.630200e-03,-0.00309688
-5.630100e-03,-0.00317188
-5.630000e-03,-0.00317188
-5.629900e-03,-0.00316875
-5.629800e-03,-0.00308594
-5.629700e-03,-0.00313281
-5.629600e-03,-0.003125
-5.629500e-03,-0.00309688
-5.629400e-03,-0.00318438
-5.629300e-03,-0.00322188
-5.629200e-03,-0.00311094
-5.629100e-03,-0.00304688
-5.629000e-03,-0.00310938
-5.628900e-03,-0.00315313
-5.628800e-03,-0.00314063
-5.628700e-03,-0.00315313
-5.628600e-03,-0.00315
-5.628500e-03,-0.00324063
-5.628400e-03,-0.00322813
-5.628300e-03,-0.00315625
-5.628200e-03,-0.00323438
-5.628100e-03,-0.00321563
-5.628000e-03,-0.003125
-5.627900e-03,-0.00315938
-5.627800e-03,-0.00320625
-5.627700e-03,-0.00318438
-5.627600e-03,-0.00319688
-5.627500e-03,-0.00323438
-5.627400e-03,-0.00319688
-5.627300e-03,-0.00327188
-5.627200e-03,-0.0030875
-5.627100e-03,-0.00305938
-5.627000e-03,-0.00315
-5.626900e-03,-0.00319063
-5.626800e-03,-0.00318125
-5.626700e-03,-0.0031
-5.626600e-03,-0.00324063
-5.626500e-03,-0.00321875
-5.626400e-03,-0.00314375
-5.626300e-03,-0.00319063
-5.626200e-03,-0.0032
-5.626100e-03,-0.0032375
-5.626000e-03,-0.00312813
-5.625900e-03,-0.00315313
-5.625800e-03,-0.00319844
-5.625700e-03,-0.00316875
-5.625600e-03,-0.00325
-5.625500e-03,-0.00329063
-5.625400e-03,-0.00324375
-5.625300e-03,-0.0031875
-5.625200e-03,-0.00315313
-5.625100e-03,-0.00311875
-5.625000e-03,-0.00320625
-5.624900e-03,-0.00319688
-5.624800e-03,-0.00315938
-5.624700e-03,-0.00316875
-5.624600e-03,-0.00319688
-5.624500e-03,-0.00315938
-5.624400e-03,-0.003125
-5.624300e-03,-0.00311875
-5.624200e-03,-0.00323438
-5.624100e-03,-0.00323438
-5.624000e-03,-0.0031875
-5.623900e-03,-0.0033125
-5.623800e-03,-0.00317812
-5.623700e-03,-0.00315
-5.623600e-03,-0.00304375
-5.623500e-03,-0.00328437
-5.623400e-03,-0.00309063
-5.623300e-03,-0.00310312
-5.623200e-03,-0.00324375
-5.623100e-03,-0.00314688
-5.623000e-03,-0.00315313
-5.622900e-03,-0.00320313
-5.622800e-03,-0.00320313
-5.622700e-03,-0.00319688
-5.622600e-03,-0.003125
-5.622500e-03,-0.00316875
-5.622400e-03,-0.00326563
-5.622300e-03,-0.00320625
-5.622200e-03,-0.00326875
-5.622100e-03,-0.00308125
-5.622000e-03,-0.003175
-5.621900e-03,-0.00317188
-5.621800e-03,-0.00315938
-5.621700e-03,-0.00323438
-5.621600e-03,-0.00314219
-5.621500e-03,-0.0031875
-5.621400e-03,-0.00314688
-5.621300e-03,-0.0031375
-5.621200e-03,-0.00315313
-5.621100e-03,-0.0031
-5.621000e-03,-0.00318438
-5.620900e-03,-0.00318906
-5.620800e-03,-0.00308438
-5.620700e-03,-0.00316094
-5.620600e-03,-0.00316563
-5.620500e-03,-0.00316875
-5.620400e-03,-0.00316875
-5.620300e-03,-0.00320313
-5.620200e-03,-0.00319375
-5.620100e-03,-0.00311406
-5.620000e-03,-0.00310625
-5.619900e-03,-0.00307187
-5.619800e-03,-0.003175
-5.619700e-03,-0.00308594
-5.619600e-03,-0.00310625
-5.619500e-03,-0.00314063
-5.619400e-03,-0.00321875
-5.619300e-03,-0.00320781
-5.619200e-03,-0.0032125
-5.619100e-03,-0.003175
-5.619000e-03,-0.00315
-5.618900e-03,-0.00305625
-5.618800e-03,-0.00315
-5.618700e-03,-0.0031375
-5.618600e-03,-0.00319375
-5.618500e-03,-0.00311875
-5.618400e-03,-0.0031375
-5.618300e-03,-0.00311406
-5.618200e-03,-0.003125
-5.618100e-03,-0.00314063
-5.618000e-03,-0.00318438
-5.617900e-03,-0.00324063
-5.617800e-03,-0.00318906
-5.617700e-03,-0.00322188
-5.617600e-03,-0.00318125
-5.617500e-03,-0.003175
-5.617400e-03,-0.00317188
-5.617300e-03,-0.00313125
-5.617200e-03,-0.003275
-5.617100e-03,-0.00315313
-5.617000e-03,-0.00306563
-5.616900e-03,-0.003225
-5.616800e-03,-0.00316875
-5.616700e-03,-0.00318125
-5.616600e-03,-0.00305469
-5.616500e-03,-0.00306563
-5.616400e-03,-0.00309063
-5.616300e-03,-0.00323125
-5.616200e-03,-0.00315313
-5.616100e-03,-0.00316875
-5.616000e-03,-0.0032375
-5.615900e-03,-0.0031875
-5.615800e-03,-0.00314063
-5.615700e-03,-0.00306406
-5.615600e-03,-0.00315313
-5.615500e-03,-0.00325312
-5.615400e-03,-0.00314688
-5.615300e-03,-0.003225
-5.615200e-03,-0.00322188
-5.615100e-03,-0.00311094
