Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.001,,,Horizontal Scale,0.001
Horizontal Delay,-0.00064,,,Horizontal Delay,-0.00064
Sample Interval,1e-07,,,Sample Interval,1e-07
Record Length,100000,,,Record Length,100000
Gating,29.00% to 73.200%,,,Gating,29.00% to 73.200%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,0.02,0.02,,Vertical Scale,0.01
Vertical Position,0,0,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH2-CH1>"
-2.740100e-03,-0.008175,-0.0106906,,-2.740100e-03,-0.00253438
-2.740000e-03,-0.00809063,-0.0106031,,-2.740000e-03,-0.002525
-2.739900e-03,-0.00812188,-0.0107188,,-2.739900e-03,-0.00259375
-2.739800e-03,-0.008075,-0.0107031,,-2.739800e-03,-0.00260625
-2.739700e-03,-0.00809375,-0.0107,,-2.739700e-03,-0.00260469
-2.739600e-03,-0.00806562,-0.0106656,,-2.739600e-03,-0.00259531
-2.739500e-03,-0.00814063,-0.0106656,,-2.739500e-03,-0.0025125
-2.739400e-03,-0.00808125,-0.0107219,,-2.739400e-03,-0.00264375
-2.739300e-03,-0.0081,-0.0106906,,-2.739300e-03,-0.00258438
-2.739200e-03,-0.00810938,-0.0107375,,-2.739200e-03,-0.00261719
-2.739100e-03,-0.0081125,-0.0107031,,-2.739100e-03,-0.00258125
-2.739000e-03,-0.00813438,-0.0106156,,-2.739000e-03,-0.00246719
-2.738900e-03,-0.00809687,-0.0106875,,-2.738900e-03,-0.00258125
-2.738800e-03,-0.00804375,-0.0106375,,-2.738800e-03,-0.00260156
-2.738700e-03,-0.00806562,-0.0107094,,-2.738700e-03,-0.00266406
-2.738600e-03,-0.00803437,-0.0106844,,-2.738600e-03,-0.00265625
-2.738500e-03,-0.00805938,-0.0106094,,-2.738500e-03,-0.00256563
-2.738400e-03,-0.00810313,-0.0106531,,-2.738400e-03,-0.00255313
-2.738300e-03,-0.00804063,-0.0106313,,-2.738300e-03,-0.00259844
-2.738200e-03,-0.00807188,-0.0106156,,-2.738200e-03,-0.00253594
-2.738100e-03,-0.008075,-0.0106438,,-2.738100e-03,-0.00256094
-2.738000e-03,-0.00808437,-0.0106125,,-2.738000e-03,-0.00252812
-2.737900e-03,-0.00806875,-0.0106875,,-2.737900e-03,-0.00264375
-2.737800e-03,-0.00807813,-0.0106438,,-2.737800e-03,-0.00255625
-2.737700e-03,-0.00806562,-0.0106406,,-2.737700e-03,-0.00257656
-2.737600e-03,-0.00802188,-0.0106375,,-2.737600e-03,-0.00259375
-2.737500e-03,-0.00797813,-0.01065,,-2.737500e-03,-0.00266406
-2.737400e-03,-0.00800938,-0.0105813,,-2.737400e-03,-0.00258125
-2.737300e-03,-0.00800938,-0.0105156,,-2.737300e-03,-0.00250781
-2.737200e-03,-0.00798125,-0.0105875,,-2.737200e-03,-0.0026
