Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,,Waveform Type,ANALOG
Point Format,Y,,,,Point Format,Y
Horizontal Units,s,,,,Horizontal Units,s
Horizontal Scale,0.001,,,,Horizontal Scale,0.001
Horizontal Delay,0,,,,Horizontal Delay,0
Sample Interval,1e-06,,,,Sample Interval,1e-06
Record Length,10000,,,,Record Length,10000
Gating,0.0% to 100.0%,,,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,1,,Probe Attenuation,1
Vertical Units,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,,Vertical Offset,0
Vertical Scale,0.02,0.02,0.02,,Vertical Scale,0.005
Vertical Position,0,0,0,,Vertical Position,-1.36
,,,,,,
,,,,,,
,,,,,,
Label,,,,,Label,
TIME,CH1,CH2,CH4,,TIME,"MATH<CH1-CH2>"
-5.000000e-03,0.045225,0.0468281,-0.0526031,,-5.000000e-03,-0.00160313
-4.999000e-03,0.0452281,0.0467406,-0.0525813,,-4.999000e-03,-0.0015125
-4.998000e-03,0.0452125,0.0469094,-0.0525094,,-4.998000e-03,-0.00169688
-4.997000e-03,0.0453563,0.0469125,-0.0525875,,-4.997000e-03,-0.00155625
-4.996000e-03,0.0454063,0.0470156,-0.0524563,,-4.996000e-03,-0.00160937
-4.995000e-03,0.0453969,0.0470375,-0.0525,,-4.995000e-03,-0.00164062
-4.994000e-03,0.0454094,0.047075,-0.0525281,,-4.994000e-03,-0.00166563
-4.993000e-03,0.0454125,0.0469375,-0.052575,,-4.993000e-03,-0.001525
-4.992000e-03,0.045425,0.0469844,-0.0524844,,-4.992000e-03,-0.00155937
-4.991000e-03,0.0454094,0.0469063,-0.0524469,,-4.991000e-03,-0.00149687
-4.990000e-03,0.0452656,0.0468406,-0.0524313,,-4.990000e-03,-0.001575
-4.989000e-03,0.0453062,0.0467562,-0.0524,,-4.989000e-03,-0.00145
-4.988000e-03,0.045225,0.0467656,-0.0523875,,-4.988000e-03,-0.00154063
-4.987000e-03,0.0451938,0.0467344,-0.0523813,,-4.987000e-03,-0.00154063
-4.986000e-03,0.0452875,0.0468187,-0.0524125,,-4.986000e-03,-0.00153125
-4.985000e-03,0.0454281,0.0469188,-0.0523781,,-4.985000e-03,-0.00149063
-4.984000e-03,0.0454063,0.0470094,-0.0523281,,-4.984000e-03,-0.00160313
-4.983000e-03,0.0454125,0.047025,-0.0524094,,-4.983000e-03,-0.0016125
-4.982000e-03,0.0454406,0.0467875,-0.0523563,,-4.982000e-03,-0.00134687
-4.981000e-03,0.045525,0.0469469,-0.0523375,,-4.981000e-03,-0.00142187
-4.980000e-03,0.0453531,0.0468938,-0.052375,,-4.980000e-03,-0.00154063
-4.979000e-03,0.0452906,0.0468781,-0.0523875,,-4.979000e-03,-0.0015875
-4.978000e-03,0.0452188,0.0467562,-0.052275,,-4.978000e-03,-0.0015375
-4.977000e-03,0.0451625,0.0467281,-0.0523281,,-4.977000e-03,-0.00156562
-4.976000e-03,0.0451563,0.046725,-0.0523063,,-4.976000e-03,-0.00156875
-4.975000e-03,0.0452938,0.0468219,-0.0522656,,-4.975000e-03,-0.00152812
