Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,-0.00064
Sample Interval,1e-07
Record Length,100000
Gating,58.300% to 61.300%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,"MATH<CH2-CH1>"
1.899000e-04,0.0106688
1.900000e-04,0.0106344
1.901000e-04,0.0106781
1.902000e-04,0.0106344
1.903000e-04,0.0106125
1.904000e-04,0.0106063
1.905000e-04,0.0106531
1.906000e-04,0.0105688
1.907000e-04,0.0106063
1.908000e-04,0.0106
1.909000e-04,0.0104406
1.910000e-04,0.0105391
1.911000e-04,0.0104563
1.912000e-04,0.0105297
1.913000e-04,0.0105219
1.914000e-04,0.0104531
1.915000e-04,0.0104594
1.916000e-04,0.0104406
1.917000e-04,0.0105531
1.918000e-04,0.0103172
1.919000e-04,0.0103875
1.920000e-04,0.0104563
1.921000e-04,0.0103594
1.922000e-04,0.0103719
1.923000e-04,0.010375
1.924000e-04,0.0104844
1.925000e-04,0.0104938
1.926000e-04,0.0104641
1.927000e-04,0.0103375
1.928000e-04,0.0104
1.929000e-04,0.0103438
1.930000e-04,0.0104375
1.931000e-04,0.0103375
1.932000e-04,0.0102813
1.933000e-04,0.0102688
1.934000e-04,0.0101922
1.935000e-04,0.0102969
1.936000e-04,0.0102938
1.937000e-04,0.0104031
1.938000e-04,0.0103406
1.939000e-04,0.0102391
1.940000e-04,0.0103516
1.941000e-04,0.010225
1.942000e-04,0.0102125
1.943000e-04,0.0102375
1.944000e-04,0.0103406
1.945000e-04,0.0102375
1.946000e-04,0.0101625
1.947000e-04,0.0102844
1.948000e-04,0.0102688
1.949000e-04,0.01015
1.950000e-04,0.0102031
1.951000e-04,0.0102406
1.952000e-04,0.0102172
1.953000e-04,0.0101547
1.954000e-04,0.0101125
1.955000e-04,0.0101094
1.956000e-04,0.0100703
1.957000e-04,0.010175
1.958000e-04,0.0101969
1.959000e-04,0.0100938
1.960000e-04,0.0101172
1.961000e-04,0.0102219
1.962000e-04,0.0100906
1.963000e-04,0.0101531
1.964000e-04,0.0100625
1.965000e-04,0.0100875
1.966000e-04,0.0101
1.967000e-04,0.0101156
1.968000e-04,0.0100094
1.969000e-04,0.00995625
1.970000e-04,0.00993438
1.971000e-04,0.00985313
1.972000e-04,0.010025
1.973000e-04,0.0099875
1.974000e-04,0.00993438
1.975000e-04,0.009925
1.976000e-04,0.00985313
1.977000e-04,0.00987344
1.978000e-04,0.00988125
1.979000e-04,0.00991563
1.980000e-04,0.0099625
1.981000e-04,0.00997187
1.982000e-04,0.00988438
1.983000e-04,0.00994375
1.984000e-04,0.00995625
1.985000e-04,0.00984375
1.986000e-04,0.00973125
1.987000e-04,0.00979375
1.988000e-04,0.00980469
1.989000e-04,0.009825
1.990000e-04,0.0097625
1.991000e-04,0.00980938
1.992000e-04,0.00980156
1.993000e-04,0.00970312
1.994000e-04,0.00981562
1.995000e-04,0.00991875
1.996000e-04,0.00986406
1.997000e-04,0.00982813
1.998000e-04,0.009925
1.999000e-04,0.00975
2.000000e-04,0.00979063
2.001000e-04,0.00971875
2.002000e-04,0.00970312
2.003000e-04,0.0097875
2.004000e-04,0.00962188
2.005000e-04,0.00971719
2.006000e-04,0.00967344
2.007000e-04,0.00959688
2.008000e-04,0.00969219
2.009000e-04,0.00969375
2.010000e-04,0.00965625
2.011000e-04,0.00965
2.012000e-04,0.00975625
2.013000e-04,0.00962188
2.014000e-04,0.009625
2.015000e-04,0.00964531
2.016000e-04,0.0095875
2.017000e-04,0.00954063
2.018000e-04,0.00954375
2.019000e-04,0.00949063
2.020000e-04,0.00970625
2.021000e-04,0.00951719
2.022000e-04,0.00963438
2.023000e-04,0.0095125
2.024000e-04,0.009475
2.025000e-04,0.0095
2.026000e-04,0.00954375
2.027000e-04,0.00940313
2.028000e-04,0.00950625
2.029000e-04,0.00955
2.030000e-04,0.00942813
2.031000e-04,0.00945312
2.032000e-04,0.00940313
2.033000e-04,0.00949063
2.034000e-04,0.00938125
2.035000e-04,0.00935625
2.036000e-04,0.00946094
2.037000e-04,0.00950625
2.038000e-04,0.00929063
2.039000e-04,0.009425
2.040000e-04,0.00936094
2.041000e-04,0.00945
2.042000e-04,0.00933125
2.043000e-04,0.00930937
2.044000e-04,0.00935937
2.045000e-04,0.00940625
2.046000e-04,0.00926563
2.047000e-04,0.00932188
2.048000e-04,0.00926719
2.049000e-04,0.00929687
2.050000e-04,0.00925
2.051000e-04,0.009225
2.052000e-04,0.00919375
2.053000e-04,0.00923438
2.054000e-04,0.00925938
2.055000e-04,0.00926875
2.056000e-04,0.009275
2.057000e-04,0.009275
2.058000e-04,0.00921875
2.059000e-04,0.00915156
2.060000e-04,0.0091875
2.061000e-04,0.00915469
2.062000e-04,0.00920938
2.063000e-04,0.0091
2.064000e-04,0.00929063
2.065000e-04,0.00916875
2.066000e-04,0.00912656
2.067000e-04,0.00919375
2.068000e-04,0.00904375
2.069000e-04,0.00909375
2.070000e-04,0.00910313
2.071000e-04,0.00908438
2.072000e-04,0.00905313
2.073000e-04,0.00903438
2.074000e-04,0.00907188
2.075000e-04,0.00904063
2.076000e-04,0.00905
2.077000e-04,0.00894687
2.078000e-04,0.00903438
2.079000e-04,0.00911875
2.080000e-04,0.00893437
2.081000e-04,0.00891875
2.082000e-04,0.00890938
2.083000e-04,0.0088875
2.084000e-04,0.00887813
2.085000e-04,0.00886875
2.086000e-04,0.00889688
2.087000e-04,0.00899687
2.088000e-04,0.00897812
2.089000e-04,0.008975
2.090000e-04,0.00888125
2.091000e-04,0.00881875
2.092000e-04,0.00881563
2.093000e-04,0.0089
2.094000e-04,0.00884688
2.095000e-04,0.00889688
2.096000e-04,0.0087625
2.097000e-04,0.00883125
2.098000e-04,0.00872812
2.099000e-04,0.00866562
2.100000e-04,0.0088375
2.101000e-04,0.00866562
2.102000e-04,0.00874688
2.103000e-04,0.00886875
2.104000e-04,0.00873125
2.105000e-04,0.00868438
2.106000e-04,0.00873125
2.107000e-04,0.00863125
2.108000e-04,0.00868125
2.109000e-04,0.00874375
2.110000e-04,0.00874375
2.111000e-04,0.00861406
2.112000e-04,0.0086
2.113000e-04,0.0085
2.114000e-04,0.0085875
2.115000e-04,0.00857813
2.116000e-04,0.0086
2.117000e-04,0.00849688
2.118000e-04,0.00865313
2.119000e-04,0.00864063
2.120000e-04,0.00859063
2.121000e-04,0.008525
2.122000e-04,0.00849688
2.123000e-04,0.00852344
2.124000e-04,0.00835938
2.125000e-04,0.00851875
2.126000e-04,0.00845625
2.127000e-04,0.00853125
2.128000e-04,0.00855312
2.129000e-04,0.00845
2.130000e-04,0.00840313
2.131000e-04,0.00837188
2.132000e-04,0.0082375
2.133000e-04,0.0083375
2.134000e-04,0.00847969
2.135000e-04,0.00831563
2.136000e-04,0.00828906
2.137000e-04,0.008425
2.138000e-04,0.00842188
2.139000e-04,0.00840938
2.140000e-04,0.00834063
2.141000e-04,0.00831563
2.142000e-04,0.00831563
2.143000e-04,0.00829531
2.144000e-04,0.00830938
2.145000e-04,0.00825313
2.146000e-04,0.00827344
2.147000e-04,0.00830938
2.148000e-04,0.0082875
2.149000e-04,0.008225
2.150000e-04,0.00821094
2.151000e-04,0.00828125
2.152000e-04,0.00820625
2.153000e-04,0.00825
2.154000e-04,0.00809687
2.155000e-04,0.00810625
2.156000e-04,0.0081
2.157000e-04,0.00815937
2.158000e-04,0.0081
2.159000e-04,0.0080375
2.160000e-04,0.00812812
2.161000e-04,0.00814687
2.162000e-04,0.00815937
2.163000e-04,0.00799688
2.164000e-04,0.00810156
2.165000e-04,0.00806562
2.166000e-04,0.00805312
2.167000e-04,0.00804844
2.168000e-04,0.00804219
2.169000e-04,0.00794375
2.170000e-04,0.00803437
2.171000e-04,0.00813125
2.172000e-04,0.0080625
2.173000e-04,0.00800781
2.174000e-04,0.00795938
2.175000e-04,0.00788125
2.176000e-04,0.00798594
2.177000e-04,0.00790313
2.178000e-04,0.00793125
2.179000e-04,0.00791094
2.180000e-04,0.00798125
2.181000e-04,0.00796875
2.182000e-04,0.0080125
2.183000e-04,0.00794062
2.184000e-04,0.00779063
